lr-AdamW:0.0004000000000000002, step:0
train/loss_step:0.04266250878572464, train/loss/visible_step:0.03572321683168411, train/loss/center_step:0.06939291954040527, epoch:0, step:49
train/loss_step:0.0370715968310833, train/loss/visible_step:0.03336001932621002, train/loss/center_step:0.03711576759815216, epoch:0, step:99
train/loss_step:0.031953807920217514, train/loss/visible_step:0.0295975711196661, train/loss/center_step:0.02356237731873989, epoch:0, step:149
train/loss_step:0.01950579322874546, train/loss/visible_step:0.017937252297997475, train/loss/center_step:0.01568540558218956, epoch:0, step:199
train/loss_step:0.018185891211032867, train/loss/visible_step:0.01703956350684166, train/loss/center_step:0.01146327517926693, epoch:0, step:249
train/loss_step:0.013192253187298775, train/loss/visible_step:0.012361451983451843, train/loss/center_step:0.008308008313179016, epoch:0, step:299
train/loss_step:0.013851072639226913, train/loss/visible_step:0.013198815286159515, train/loss/center_step:0.006522576790302992, epoch:0, step:349
train/loss_step:0.016884056851267815, train/loss/visible_step:0.016332387924194336, train/loss/center_step:0.005516691133379936, epoch:0, step:399
train/loss_step:0.013083597645163536, train/loss/visible_step:0.01266294065862894, train/loss/center_step:0.004206565674394369, epoch:0, step:449
train/loss_step:0.01789720728993416, train/loss/visible_step:0.017531463876366615, train/loss/center_step:0.0036574325058609247, epoch:0, step:499
train/loss_step:0.015305477194488049, train/loss/visible_step:0.014984595589339733, train/loss/center_step:0.003208818146958947, epoch:0, step:549
train/loss_step:0.02261696755886078, train/loss/visible_step:0.022317316383123398, train/loss/center_step:0.002996507566422224, epoch:0, step:599
train/loss_step:0.01894162967801094, train/loss/visible_step:0.018663527444005013, train/loss/center_step:0.0027810316532850266, epoch:0, step:649
train/loss_step:0.021470200270414352, train/loss/visible_step:0.021233167499303818, train/loss/center_step:0.0023703293409198523, epoch:0, step:699
train/loss_step:0.020128000527620316, train/loss/visible_step:0.019905749708414078, train/loss/center_step:0.0022225126158446074, epoch:0, step:749
train/loss_step:0.019985362887382507, train/loss/visible_step:0.019785864278674126, train/loss/center_step:0.0019949788693338633, epoch:0, step:799
train/loss_step:0.013233011588454247, train/loss/visible_step:0.013044755905866623, train/loss/center_step:0.0018825565930455923, epoch:0, step:849
train/loss_step:0.008661086671054363, train/loss/visible_step:0.008521254174411297, train/loss/center_step:0.0013983262469992042, epoch:0, step:899
train/loss_step:0.011134553700685501, train/loss/visible_step:0.010997905395925045, train/loss/center_step:0.00136648362968117, epoch:0, step:949
train/loss_step:0.008811726234853268, train/loss/visible_step:0.008687905967235565, train/loss/center_step:0.0012381981359794736, epoch:0, step:999
train/loss_step:0.023777514696121216, train/loss/visible_step:0.023621927946805954, train/loss/center_step:0.001555869122967124, epoch:0, step:1049
train/loss_step:0.013711657375097275, train/loss/visible_step:0.013576013967394829, train/loss/center_step:0.0013564343098551035, epoch:0, step:1099
train/loss_step:0.012451652437448502, train/loss/visible_step:0.012322859838604927, train/loss/center_step:0.0012879302958026528, epoch:0, step:1149
train/loss_step:0.012546365149319172, train/loss/visible_step:0.012432941235601902, train/loss/center_step:0.0011342392535880208, epoch:0, step:1199
train/loss_step:0.012131873518228531, train/loss/visible_step:0.012040031142532825, train/loss/center_step:0.0009184244554489851, epoch:0, step:1249
train/loss_step:0.01270421501249075, train/loss/visible_step:0.012587043456733227, train/loss/center_step:0.0011717150919139385, epoch:0, step:1299
train/loss_step:0.013531463220715523, train/loss/visible_step:0.013435104861855507, train/loss/center_step:0.0009635862661525607, epoch:0, step:1349
train/loss_step:0.007170668803155422, train/loss/visible_step:0.007101863157004118, train/loss/center_step:0.0006880557630211115, epoch:0, step:1399
train/loss_step:0.015493275597691536, train/loss/visible_step:0.015384168364107609, train/loss/center_step:0.00109107606112957, epoch:0, step:1449
train/loss_step:0.009681413881480694, train/loss/visible_step:0.009597689844667912, train/loss/center_step:0.0008372433949261904, epoch:0, step:1499
train/loss_step:0.016177861019968987, train/loss/visible_step:0.016073811799287796, train/loss/center_step:0.001040488830767572, epoch:0, step:1549
train/loss_step:0.014182014390826225, train/loss/visible_step:0.014079666696488857, train/loss/center_step:0.0010234813671559095, epoch:0, step:1599
train/loss_step:0.014316345565021038, train/loss/visible_step:0.014214619062840939, train/loss/center_step:0.0010172644397243857, epoch:0, step:1649
train/loss_step:0.01728624664247036, train/loss/visible_step:0.01718595065176487, train/loss/center_step:0.001002963399514556, epoch:0, step:1699
train/loss_step:0.01991460844874382, train/loss/visible_step:0.019814588129520416, train/loss/center_step:0.0010002108756452799, epoch:0, step:1749
train/metrics/iou@0.40:0.1899062842130661, train/metrics/iou@0.50:0.10832557082176208, train/metrics/iou_with_occlusions@0.40:0.17225079238414764, train/metrics/iou_with_occlusions@0.50:0.08449380099773407, val/loss:0.013959337025880814, val/loss/visible:0.013873967342078686, val/loss/center:0.0008537103421986103, val/metrics/iou@0.40:0.2112531214952469, val/metrics/iou@0.50:0.13103775680065155, val/metrics/iou_with_occlusions@0.40:0.1781354695558548, val/metrics/iou_with_occlusions@0.50:0.1024714931845665, epoch:0, step:1758
train/loss_epoch:0.017208803445100784, train/loss/visible_epoch:0.01634426787495613, train/loss/center_epoch:0.008645275607705116, epoch:1, step:1758
lr-AdamW:0.000728826621189233, step:1759
train/loss_step:0.010999913327395916, train/loss/visible_step:0.010946884751319885, train/loss/center_step:0.0005302888457663357, epoch:1, step:1799
train/loss_step:0.012960655614733696, train/loss/visible_step:0.012865453958511353, train/loss/center_step:0.0009520193561911583, epoch:1, step:1849
train/loss_step:0.012106960639357567, train/loss/visible_step:0.01202110294252634, train/loss/center_step:0.0008585811592638493, epoch:1, step:1899
train/loss_step:0.008095246739685535, train/loss/visible_step:0.00802036002278328, train/loss/center_step:0.0007488650735467672, epoch:1, step:1949
train/loss_step:0.009019514545798302, train/loss/visible_step:0.008955368772149086, train/loss/center_step:0.0006414607632905245, epoch:1, step:1999
train/loss_step:0.02317572385072708, train/loss/visible_step:0.02301689237356186, train/loss/center_step:0.0015883074374869466, epoch:1, step:2049
train/loss_step:0.006835415959358215, train/loss/visible_step:0.00677925068885088, train/loss/center_step:0.0005616507842205465, epoch:1, step:2099
train/loss_step:0.006445613224059343, train/loss/visible_step:0.006395775359123945, train/loss/center_step:0.0004983791732229292, epoch:1, step:2149
train/loss_step:0.01543987076729536, train/loss/visible_step:0.015357994474470615, train/loss/center_step:0.0008187597268261015, epoch:1, step:2199
train/loss_step:0.017408881336450577, train/loss/visible_step:0.017306111752986908, train/loss/center_step:0.001027701422572136, epoch:1, step:2249
train/loss_step:0.013373875059187412, train/loss/visible_step:0.01328298356384039, train/loss/center_step:0.000908919086214155, epoch:1, step:2299
