lr-AdamW:0.0004000000000000002, step:0
train/loss_step:0.0421074777841568, train/loss/visible_step:0.0351964570581913, train/loss/center_step:0.06911022216081619, epoch:0, step:49
train/loss_step:0.03711172565817833, train/loss/visible_step:0.03343817591667175, train/loss/center_step:0.03673548623919487, epoch:0, step:99
train/loss_step:0.03164943307638168, train/loss/visible_step:0.029327187687158585, train/loss/center_step:0.02322244830429554, epoch:0, step:149
train/loss_step:0.019417814910411835, train/loss/visible_step:0.01788916625082493, train/loss/center_step:0.01528648380190134, epoch:0, step:199
train/loss_step:0.018046056851744652, train/loss/visible_step:0.016954071819782257, train/loss/center_step:0.010919848456978798, epoch:0, step:249
train/loss_step:0.013404813595116138, train/loss/visible_step:0.012593572027981281, train/loss/center_step:0.008112415671348572, epoch:0, step:299
train/loss_step:0.013782709836959839, train/loss/visible_step:0.01313343457877636, train/loss/center_step:0.0064927516505122185, epoch:0, step:349
train/loss_step:0.016743743792176247, train/loss/visible_step:0.016202878206968307, train/loss/center_step:0.005408662371337414, epoch:0, step:399
train/loss_step:0.012841288931667805, train/loss/visible_step:0.012431617826223373, train/loss/center_step:0.004096712917089462, epoch:0, step:449
train/loss_step:0.01776968501508236, train/loss/visible_step:0.017407763749361038, train/loss/center_step:0.0036192189436405897, epoch:0, step:499
train/loss_step:0.015548476949334145, train/loss/visible_step:0.015237346291542053, train/loss/center_step:0.003111304482445121, epoch:0, step:549
train/loss_step:0.02292882278561592, train/loss/visible_step:0.022636812180280685, train/loss/center_step:0.002920102793723345, epoch:0, step:599
train/loss_step:0.01899717003107071, train/loss/visible_step:0.018726257607340813, train/loss/center_step:0.002709126565605402, epoch:0, step:649
train/loss_step:0.020584091544151306, train/loss/visible_step:0.02034931257367134, train/loss/center_step:0.0023477980867028236, epoch:0, step:699
train/loss_step:0.019538801163434982, train/loss/visible_step:0.0193179864436388, train/loss/center_step:0.0022081464994698763, epoch:0, step:749
train/loss_step:0.019810751080513, train/loss/visible_step:0.019616587087512016, train/loss/center_step:0.0019416420254856348, epoch:0, step:799
train/loss_step:0.013427801430225372, train/loss/visible_step:0.013241292908787727, train/loss/center_step:0.0018650891724973917, epoch:0, step:849
train/loss_step:0.00866752490401268, train/loss/visible_step:0.008528394624590874, train/loss/center_step:0.0013913005823269486, epoch:0, step:899
train/loss_step:0.01110673975199461, train/loss/visible_step:0.010968370363116264, train/loss/center_step:0.0013836893485859036, epoch:0, step:949
train/loss_step:0.00919549074023962, train/loss/visible_step:0.009072051383554935, train/loss/center_step:0.001234391238540411, epoch:0, step:999
train/loss_step:0.02431960590183735, train/loss/visible_step:0.024165654554963112, train/loss/center_step:0.0015395215013995767, epoch:0, step:1049
train/loss_step:0.01369074173271656, train/loss/visible_step:0.01355542428791523, train/loss/center_step:0.0013531700242310762, epoch:0, step:1099
train/loss_step:0.012640825472772121, train/loss/visible_step:0.012513350695371628, train/loss/center_step:0.0012747454456984997, epoch:0, step:1149
train/loss_step:0.012443573214113712, train/loss/visible_step:0.01233394630253315, train/loss/center_step:0.0010962678352370858, epoch:0, step:1199
train/loss_step:0.011995866894721985, train/loss/visible_step:0.011904154904186726, train/loss/center_step:0.0009171158890239894, epoch:0, step:1249
